0/10000,training_images/calculator/~ada70226f83de38c.jpg,calculator,grid,0.1623032,cart,0.13083702,menu,0.069985464,calendar,0.039002836,file,0.031762235,
1/10000,training_images/settings/~87ec69d2d0e82a38.jpg,settings,dollar,0.3267699,calendar,0.2136349,ticket,0.13278402,settings,0.111419596,dashboard,0.02081615,
2/10000,training_images/profile_avatar/~a0349bd24000c13c.jpg,profile avatar,unclassified,0.502072,airplane,0.43398693,profile avatar,0.060097456,bag,0.00102351,mobile,0.0005108383,
3/10000,training_images/close/_1164924927c505f2.jpg,close,delete,0.10212822,question,0.070488185,close,0.06951709,clock,0.06933037,dollar,0.0630562,
4/10000,training_images/globe/~7a5ce918680a14b1.jpg,globe,search,0.35575065,moon,0.254362,contrast,0.095826544,microphone,0.05688765,refresh,0.052924078,
5/10000,training_images/flashlight/~4b1b020dc3abd065.jpg,flashlight,flashlight,0.9452961,microphone,0.02471558,filter,0.005233164,flag,0.004949921,light bulb,0.0036723942,
6/10000,training_images/megaphone/_0380949ab45373f4.jpg,megaphone,megaphone,0.5376658,cursor,0.06447647,airplane,0.061916295,cut,0.04709991,call,0.04214723,
7/10000,training_images/reply/_64d8de7d1ca1d9c9.jpg,reply,file,0.25173602,home,0.19397363,car,0.09514572,bag,0.08581918,cart,0.06806745,
8/10000,training_images/battery/~aaf82d31f15d9af4.jpg,battery,mobile,0.20325944,battery,0.15099795,trash,0.09484746,gift,0.06641024,crop,0.063471615,
9/10000,training_images/alarm/~4eb1040cd1c6dcdc.jpg,alarm,light bulb,0.1128449,user,0.10038414,question,0.07132014,alarm,0.059656873,cloud,0.04793705,
10/10000,training_images/settings/_37e38d2b4868d8f2.jpg,settings,settings,0.9732036,favorite,0.005871892,brightness,0.0051932405,location,0.0019204449,user,0.001664477,
11/10000,training_images/flag/_3144aba67351429a.jpg,flag,flag,0.97560436,megaphone,0.012414056,volume,0.0057504526,mute,0.00073446403,bookmark,0.00062488025,
12/10000,training_images/printer/~c341ad8ada1f46e3.jpg,printer,printer,0.99914515,credit card,0.00018041146,thumbs up,0.00012005622,save,0.000119768716,folder,9.870998e-05,
13/10000,training_images/add/_b2ecdc49a8afdf76.jpg,add,add,0.892496,crop,0.05913204,flag,0.01326885,signal,0.008632604,minimize,0.0038043,
14/10000,training_images/flag/~ae8fea605ab6e731.jpg,flag,flag,0.9955995,flashlight,0.00066302967,music,0.000622074,megaphone,0.0005899336,volume,0.000339969,
15/10000,training_images/music/_f02b5f1329228c0b.jpg,music,volume,0.32774165,sort,0.21698223,signal,0.07692337,info,0.023271412,question,0.019399554,
16/10000,training_images/chart/~7d0de8af18df12be.jpg,chart,arrow right,0.15513827,filter,0.103604734,play,0.05818315,eye,0.048848476,dashboard,0.04675297,
17/10000,training_images/unlock/~834fea2495732bbc.jpg,unlock,unlock,0.4508848,lock,0.28735164,bag,0.1333413,upload,0.021350311,user,0.01997023,
18/10000,training_images/television/~a74508244ac4461d.jpg,television,television,0.74256575,computer,0.17110908,laptop,0.052493244,folder,0.008163636,crop,0.0042975834,
19/10000,training_images/alarm/~f923aae184c9cab5.jpg,alarm,alarm,0.32033637,delete,0.12901653,close,0.065772526,clock,0.062156532,dashboard,0.056948576,
