0/10000,../training_images/camera/~bb5c08bf7b9fa958.jpg,camera,camera,0.9721938,eye,0.0055045155,search,0.0037158737,play,0.0027490284,video camera,0.0017455341,
1/10000,../training_images/video_camera/_2d7fa15b18223f87.jpg,video camera,video camera,0.7782186,gift,0.071567126,lock,0.03318074,user,0.025889153,camera,0.020074876,
2/10000,../training_images/arrow_down/~776614256f7f9de0.jpg,arrow down,arrow up,0.33163962,arrow down,0.2956341,sort,0.11119283,send,0.06210568,flag,0.055519324,
3/10000,../training_images/fab/~d983f351c3311992.jpg,fab,fab,0.9695281,facebook,0.022682782,delete,0.0028997725,brightness,0.0011136162,profile avatar,0.0005900821,
4/10000,../training_images/calendar/~480237ef6fe19f25.jpg,calendar,file,0.39310694,signal,0.1701693,battery,0.16622709,fingerprint,0.04455224,bag,0.03831565,
5/10000,../training_images/settings/_2e1a33a1af7abb58.jpg,settings,settings,0.7542221,cloud,0.06689705,call,0.0544169,dollar,0.043128014,alarm,0.041554175,
6/10000,../training_images/play/_d497758dc95e5c9c.jpg,play,play,0.21724905,mute,0.17987655,megaphone,0.10290186,send,0.09136936,flag,0.051566195,
7/10000,../training_images/reply/~f79f7db51d275426.jpg,reply,reply,0.46375108,share,0.10828913,mute,0.060277928,call,0.059503533,unlock,0.05082312,
8/10000,../training_images/mail/_6240c547dc60b139.jpg,mail,mail,0.86133987,reply,0.06012155,credit card,0.025292994,check mark,0.01667452,folder,0.005188674,
9/10000,../training_images/credit_card/_efcd569d6f89056d.jpg,credit card,credit card,0.8711126,menu,0.06420557,sort,0.014395293,calendar,0.00852557,delete,0.00641626,
10/10000,../training_images/bluetooth/_76e05aa8aac9c499.jpg,bluetooth,bluetooth,0.35846525,tag,0.15449278,info,0.10779859,warning,0.08855405,clock,0.044478245,
11/10000,../training_images/search/~6f99317366c1d7b4.jpg,search,search,0.7529547,camera,0.088998504,location,0.049167573,user,0.026171027,video camera,0.021560676,
